,IFN signaling,T cell trafficking,T cell activation/inhibition,lymphocyte activation,cell trafficking,regulation of inflammation,DAMP detection,myeloid trafficking,myeloid signaling,cytolytic activity,IFN signaling,T cell activation/inhibition,T cell Signaling,,,,,,,,,,,,,,
,IFNGR1,CXCR5,ICOSLG,IL12A,CCL3L1,IL10RA,CD47,CCL3,CD14,GZMB,JAK1,ICOS,CD3D,,,,,,,,,,,,,,
,IDO1,CCR1,CD27,IL12B,CCL5,IL1A,CLEC5A,ITGAM,CEBPB,PRF1,STAT1,CTLA4,CD3E,,,,,,,,,,,,,,
,IFNG,CCR4,CD274,IL12RB2,CCR1,IL1B,CLEC7A,ITGAX,CYBB,GZMA,STAT2,TIGIT,CD3G,,,,,,,,,,,,,,
,IRF1,CCR5,CD38,IL13,CCR2,IL1RN,MARCO,,HCK,GZMM,JAK2,CD40LG,CD8A,,,,,,,,,,,,,,
,,CXCL10,CD5,IL13RA1,CCR4,IL26,MRC1,,IL1B,GNLY,IFITM1,PDCD1,CD8B,,,,,,,,,,,,,,
,,CXCL11,CD7,IL1R2,CCR5,IL6R,NLRP3,,S100A8,GZMH,IFNG,LAG3,ZAP70,,,,,,,,,,,,,,
,,CXCR3,CD70,IL2RB,CXCL10,NOD2,TLR1,,SLC11A1,GZMK,IDO1,CD27,LCK,,,,,,,,,,,,,,
,,CXCR4,CD80,IL4R,SPP1,PTGS2,TLR2,,TREM1,,,IL2RG,CD2,,,,,,,,,,,,,,
,,ITGA1,CD86,JAK1,VEGFA,,TLR4,,,,,CD38,CD6,,,,,,,,,,,,,,
,,,CTLA4,JAK2,,,TLR8,,,,,CD48,EOMES,,,,,,,,,,,,,,
,,,IL12A,LTB,,,,,,,,SLAMF7,TBX21,,,,,,,,,,,,,,
,,,IL12B,TNFSF10,,,,,,,,CD5,IRF4,,,,,,,,,,,,,,
,,,IL12RB1,TNFSF14,,,,,,,,CD7,,,,,,,,,,,,,,,
,,,IL12RB2,TNFSF8,,,,,,,,CD96,,,,,,,,,,,,,,,
,,,IL18,TYK2,,,,,,,,KLRB1,,,,,,,,,,,,,,,
,,,IL18R1,,,,,,,,,KLRD1,,,,,,,,,,,,,,,
,,,IL18RAP,,,,,,,,,KLRK1,,,,,,,,,,,,,,,
,,,LAG3,,,,,,,,,PVR,,,,,,,,,,,,,,,
,,,LCP1,,,,,,,,,LY9,,,,,,,,,,,,,,,
,,,LILRB1,,,,,,,,,IGF2R,,,,,,,,,,,,,,,
,,,MAF,,,,,,,,,,,,,,,,,,,,,,,,
,,,STAT4,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIGIT,,,,,,,,,,,,,,,,,,,,,,,,
,,,TNFRSF14,,,,,,,,,,,,,,,,,,,,,,,,
,,,TNFSF14,,,,,,,,,,,,,,,,,,,,,,,,
